id,slug,title,artist,inLibrary,bpm,bpmZone,keySignature,energyLevel,danceabilityNormalized,durationSeconds,primaryGenre,folders,playlists,file
b7071657-4293-4d91-9950-e857689eab91,andino-x-segik-la-selva--b7071657,"Andino x Segik La Selva","SERGIK",true,123.05,house,F minor,4.3,0.77,381,"Experimental Bass","Funktioneers","Funktioneers",tracks/andino-x-segik-la-selva--b7071657.json
873f95ed-e22c-4334-abc7-7091dcdd142a,andino-x-sergik-bird-talk--873f95ed,"ANDINO x SERGIK - Bird Talk","SERGIK",true,123.05,house,G# major,2.4,0.7,457,"Funky House","Feelin Sendy","Feelin Sendy",tracks/andino-x-sergik-bird-talk--873f95ed.json
4e27fd2b-24db-40e0-b89f-2cda2b49f90f,andino-x-sergik-x-janis-tradicion--4e27fd2b,"Andino x Sergik x Janis - Tradicion","SERGIK",true,123.05,house,G minor,4.7,0.79,411,"Funky House","Feelin Sendy","Feelin Sendy",tracks/andino-x-sergik-x-janis-tradicion--4e27fd2b.json
20957f2d-bdcc-4966-a625-2cc5a2f06e9f,barrio-bros-bloops--20957f2d,"Barrio Bros - Bloops","SERGIK",true,126.05,house,C minor,5.5,0.82,246,"Funky House","Funktioneers","Funktioneers",tracks/barrio-bros-bloops--20957f2d.json
edde5ead-d197-4989-8b16-efdc00cb1b5a,ceemoar-x-sergik-no-body--edde5ead,"Ceemoar x Sergik - No Body","SERGIK",true,123.05,house,Unknown,4.4,0.78,219,"Funky House","Funktioneers","Funktioneers",tracks/ceemoar-x-sergik-no-body--edde5ead.json
95f4a136-2d0a-4e10-be05-1d79c8862721,jimii-x-sergik-dublin--95f4a136,"JIMII x Sergik - dublin","SERGIK",true,129.2,tech_house,Unknown,3.6,0.74,447,"Tech House","Deep n Funky","Deep n Funky",tracks/jimii-x-sergik-dublin--95f4a136.json
ac6e18e6-0856-4a2b-8037-5941bc7884fc,optikz-x-sergik-vips-crowd-control-house--ac6e18e6,"Optikz x SERGIK(Vips) - Crowd Control - House","SERGIK",true,123.05,house,A minor,1.3,0.65,204,"Funky House","Feelin Sendy","Feelin Sendy",tracks/optikz-x-sergik-vips-crowd-control-house--ac6e18e6.json
0ec4c76d-e211-4f93-b1be-387b34d9db05,optikz-x-sergik-vips-crowd-control-trap--0ec4c76d,"Optikz x SERGIK(Vips) - Crowd Control - Trap","SERGIK",true,123.05,house,A minor,1.3,0.65,204,"Experimental Bass","Experimental : Free Form Bass","Experimental : Free Form Bass",tracks/optikz-x-sergik-vips-crowd-control-trap--0ec4c76d.json
41ec1c1e-f508-4773-945b-5f45e380386b,seergik-all-the-vibes--41ec1c1e,"SEERGIK - All The Vibes","SERGIK",true,123.05,house,D minor,3.4,0.74,276,"Funky House","Soul Candy","Soul Candy",tracks/seergik-all-the-vibes--41ec1c1e.json
8ceb1208-a776-4a20-8278-e992a87e6053,sergik-betta--8ceb1208,"SERGIK  - Betta","SERGIK",true,123.05,house,G minor,4,0.76,263,"Funky House","Funktioneers","Funktioneers",tracks/sergik-betta--8ceb1208.json
232f79f1-c2f4-4d18-a04a-3db9128b93e4,sergik-dreamer--232f79f1,"SERGIK  - Dreamer","SERGIK",true,139.67,cross_zone,A minor,4,0.75,180,"Trap","Hip Hop","Hip Hop",tracks/sergik-dreamer--232f79f1.json
4d111784-45f5-4143-86af-945585a8c4fb,sergik-it-is-what-it-is--4d111784,"SERGIK  - It Is What It Is","SERGIK",true,123.05,house,C minor,4.1,0.7,234,"Experimental Bass","Are We Awake","Are We Awake",tracks/sergik-it-is-what-it-is--4d111784.json
93deeee5-418f-4f77-936f-b2ec93b571f4,sergik-it-is-what-it-is--93deeee5,"SERGIK  - It Is What It Is","SERGIK",false,123.05,house,C minor,4.1,0.7,234,"Experimental Bass","","",tracks/sergik-it-is-what-it-is--93deeee5.json
